Timestamp,UserID,Action,IP_Address,Response_Code,Status,Details,LogLevel
2021-11-13 20:31:18.911940478,2535,remove_from_cart,204.6.145.192,502,Bad Gateway,Error in view_product. Response: 504 - Bad Request,crit
2022-07-25 15:17:57.798340808,2101,add_to_cart,34.84.229.231,503,Unauthorized,Error in add_to_cart. Response: 502 - Gateway Timeout,crit
2021-08-12 00:01:55.618165982,2995,view_product,146.202.220.122,503,Bad Request,Error in return. Response: 200 - OK,emerg
2021-06-17 14:34:45.738160540,3808,return,193.142.55.156,403,Bad Request,Error in remove_from_cart. Response: 404 - Internal Server Error,error
2022-03-04 12:45:57.443146349,1509,view_product,238.23.81.51,200,Bad Request,Error in view_product. Response: 400 - Moved Permanently,notice
2022-09-25 17:16:21.694876684,2541,remove_from_cart,204.6.145.192,503,Service Unavailable,Error in remove_from_cart. Response: 503 - Moved Permanently,crit
2022-04-29 06:52:41.876214421,2530,return,3.177.231.225,200,OK,Error in login. Response: 401 - Not Found,error
2022-06-11 21:30:48.202849018,2196,purchase,3.177.231.225,301,OK,Error in remove_from_cart. Response: 404 - Forbidden,emerg
2021-02-22 05:17:56.832493486,1485,view_product,238.23.81.51,200,Internal Server Error,Error in view_product. Response: 400 - Moved Permanently,warn
2022-04-22 14:54:27.053349628,2366,view_product,204.6.145.192,400,Internal Server Error,Error in login. Response: 200 - Bad Gateway,notice
2022-08-05 16:59:19.581054158,2045,login,3.177.231.225,301,Gateway Timeout,Error in add_to_cart. Response: 403 - Unauthorized,crit
2021-12-10 13:30:11.816995579,4840,remove_from_cart,168.253.83.204,500,Not Found,Error in purchase. Response: 200 - Forbidden,notice
2022-04-30 05:14:40.156252501,4969,add_to_cart,165.136.35.19,500,Service Unavailable,Error in login. Response: 500 - Not Found,debug
2021-06-12 06:25:18.895467270,4912,return,34.84.229.231,200,Service Unavailable,Error in purchase. Response: 403 - OK,error
2022-08-04 07:42:54.436633157,3791,purchase,165.136.35.19,503,Bad Gateway,Error in remove_from_cart. Response: 502 - Internal Server Error,crit
2022-03-05 11:09:29.345569283,4256,purchase,3.177.231.225,500,Unauthorized,Error in return. Response: 502 - OK,debug
2021-07-08 05:03:20.222711232,3074,remove_from_cart,45.37.220.121,404,Internal Server Error,Error in remove_from_cart. Response: 400 - OK,error
2021-09-11 02:30:55.305466336,3152,login,146.202.220.122,403,Bad Request,Error in login. Response: 503 - Bad Request,info
